#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
AK5	26289	5	5	-	-	608009
AK6	102157402	4	4	-	-	-
AK7	122481	13	13	1	-	615364
AK8	158067	20	20	-	-	615365
AK9	221264	11	11	-	1	615358
AKAP1	8165	6	6	-	-	602449
AKAP10	11216	55	55	1	-	604694
AKAP11	11215	28	28	-	-	604696
AKAP12	9590	7	7	-	-	604698
AKAP13	11214	13	13	-	1	604686
AKAP14	158798	82	82	-	-	300462
AKAP17A	8227	116	116	-	-	312095
AKAP17A	8227	116	116	-	-	465000
AKAP2	11217	21	21	-	-	604582
AKAP3	10566	17	17	-	-	604689
AKAP4	8852	81	81	-	-	300185
AKAP5	9495	5	5	-	-	604688
AKAP6	9472	12	12	-	-	604691
AKAP7	9465	4	4	-	-	604693
AKAP8	10270	8	8	1	1	604692
AKAP8L	26993	6	6	-	-	609475
AKAP9	10142	158	126	151	4	604001
AKIP1	56672	4	4	-	-	609191
AKIRIN1	79647	4	4	-	-	615164
AKIRIN2	55122	6	6	-	-	615165
AKNA	80709	19	19	-	-	605729
AKNAD1	254268	7	7	-	-	-
AKR1A1	10327	8	8	-	-	103830
AKR1B1	231	13	13	-	-	103880
AKR1B10	57016	13	13	-	-	604707
AKR1B15	441282	13	13	-	-	616336
AKR1C1	1645	23	23	-	-	600449
AKR1C2	1646	27	27	4	4	600450
AKR1C3	8644	25	25	-	-	603966
AKR1C4	1109	23	23	1	-	600451
AKR1D1	6718	24	24	6	5	604741
AKR1E2	83592	21	21	-	-	-
AKR7A2	8574	9	9	-	-	603418
AKR7A3	22977	9	9	-	-	608477
AKR7L	246181	9	9	-	-	608478
AKT1	207	40	37	6	3	164730
AKT1S1	84335	2	2	-	-	610221
AKT2	208	7	7	5	2	164731
AKT3	10000	62	62	3	7	611223
AKTIP	64400	5	5	-	-	608483
ALAD	210	25	25	8	7	125270
ALAS1	211	2	2	-	-	125290
ALAS2	212	97	97	20	21	301300
ALB	213	88	84	61	7	103600
ALCAM	214	8	8	-	-	601662
ALDH16A1	126133	2	2	-	-	613358
ALDH18A1	5832	11	11	6	6	138250
ALDH1A1	216	19	19	-	-	100640
ALDH1A2	8854	3	3	-	-	603687
ALDH1A3	220	45	45	3	4	600463
ALDH1B1	219	40	40	-	-	100670
